CU_NAME,TOTAL ASSETS,TOTAL AMOUNT OF SHARES AND DEPOSITS,NO OF MEMBERS,Money Market (Amount),Number of Used Vehicle Loans,Amount of Total Share Draft,Deliquent Credit card loans (Amount) 0-180,Total number of loans and leases,Total amount of loans and leases,TOTAL AMOUNT OF SHARES,Amount of new vehicle loans,Total Number of money market shares,Amount of Used Vehicle Loans,Number of Total Share Draft,Number of new Vehicle loans,Deliquent Credit card loans (Amount) 180+,Year,Quarter
Credit union,2600086378,2171146851,173085,503709626,35975,97171248,2600779,118661,2373787518,1489816294,322283085,24168,496087983,99007,18718,267620,2016,2
State Credit Union average,124359442,106906509.1,11179,22015334.11,1157.916058,13052849.55,66971.79197,6077.551095,73814281.73,92951989.27,7779540.606,1184.645985,12952086.3,6082.781022,449.1131387,4590.591241,2016,2
Peer Credit Union average,1304069185,1107131312,99171,283039506.1,14235.76527,153591961.2,664854.0466,57853.13023,874830375.7,977428255.6,118576898.6,8103.397106,176761278.6,57937.84244,5923.133441,33720.78135,2016,2
Credit union,2564953041,2166158410,174409,505978714,34675,97097943,2307007,115072,2242413645,1499072017,307473420,24046,469517709,96872,18357,225935,2016,1
State Credit Union average,142564949.6,123203839.1,12573,26025413.31,1435.890566,16033657.53,81491.06792,7036.54717,85482118.75,106057177.1,8923457.128,1465.075472,16010671.88,6946.324528,514.7358491,4648.056604,2016,1
Peer Credit Union average,1399887564,1173138193,106828,293781207.6,14620.36585,168611415.3,985769.4472,63072.25691,932266999.3,1032848190,120490861.7,8509.738211,177459857.2,63263.83902,6073.447154,37066.03252,2016,1
Credit union,2311370288,1875734324,165555,471049064,33352,84581802,2555289,97731,2083593548,1346729549,281123948,23927,439374093,95715,17718,174678,2015,3
State Credit Union average,132355581.6,113774853.7,12494,24526356.88,1401.6121,13773083.87,94045.91815,6883.537367,82191730.57,98515122.85,8349379.174,1414.049822,15317596.33,6812.871886,485.8469751,4874.24911,2015,3
Peer Credit Union average,1347880606,1120247098,106835,290012051.3,14450.84375,150058136.3,1081454.368,62933.3125,905927911.2,982971357.9,113625960.7,8710.949013,172427867.6,63299.33224,5826.174342,38126.18914,2015,3
Credit union,2256715503,1849151739,160403,484766186,32599,88671812,2100826,94667,1985974754,1356273724,269016524,23910,423832096,94160,17379,177001,2015,2
State Credit Union average,131963476.4,113824878.1,12147,24800225.03,1351.953069,13707864.13,83656.95668,6733.700361,79354507.18,98686214.77,7768491.783,1432.33574,14688743.14,6616.469314,461.4620939,5306.462094,2015,2
